Year,Centralt,Styrelsen,METAdorerna,Naringslivsgruppen,MediasBranschdag,Mottagningen,Klubbmasteriet,Kommunikationsnamnden,Studienamnden,Valberedningen,Fotogruppen,Qulturnamnden,Medielabbet,Sanglederiet,Spexmasteriet,Idrottsnamnden,Matlaget,Spelnorderiet,InternationellaNamnden,METAspexet,Resultat
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4542,0,0,2038,0,0,0,0,97,0,265,454,0,210,598,0,374,0,0,0,8578
2014,4637,789,181,0,0,4056,0,0,0,519,0,37,0,0,978,0,0,0,0,0,11197
2015,11033,976,0,1500,1765,5891,0,0,900,852,0,331,645,0,0,0,0,0,0,0,22773
2016,12012,1723,1981,2747,9745,14922,17731,3047,952,1431,400,0,2585,978,0,2450,0,0,0,0,56580
2017,5906,11840,4740,7430,3750,24051,18199,11670,5352,3511,950,254,0,0,1094,0,3776,0,0,0,80930
2018,10441,1706,1021,2641,4747,21421,8287,5100,0,2185,0,0,223,4856,727,90,1271,0,4266,0,68983
